customer_id,name,age,birth_year,salary,city,email,phone,purchase_amount,join_date
1,Customer_1,56.0,1968,154862.0,New Delhi,user1@gmail.com,9370421813,19000.75,2023-01-22
2,Customer_2,46.0,2005,148834.0,delhi,user2@gmail.com,9409210244,16938.6,2023-05-25
3,Customer_3,32.0,2004,123848.0,mumbai,user3@gmail.com,7379710429,44992.41,2023-08-27
4,Customer_4,60.0,1970,82921.0, mumbai,user4@gmail.com,8732945720,30417.01,2023-01-23
5,Customer_5,25.0,1990,156141.0,Bengaluru,user5@gmail.com,NA,12293.22,2023-03-24
6,Customer_6,38.0,2005,52677.0, mumbai,user6@gmail.com,9533841296,24962.56,2023-02-11
7,Customer_7,56.0,2005,85609.0,Pune,user7@GMAIL.COM,7575591023,16584.39,2023-06-26
8,Customer_8,36.0,1979,61024.0,MUMBAI,user8@gmail.com,9061781758,46691.22,2023-02-15
9,Customer_9,40.0,1984,100313.0,PUNE,user9@gmail.com,7123620654,475.96,2023-03-13
10,Customer_10,28.0,1970,157813.0,Bengaluru,user10@gmail.com,NA,11344.11,2023-01-17
11,Customer_11,28.0,1960,125285.0,Mumbai,user11@gmail.com,8806187414,18331.31,2023-05-16
12,Customer_12,41.0,1960,176410.0,Pune,user12@gmail.com,9664209236,24441.71,2023-03-19
13,Customer_13,53.0,1960,143632.0,Mumbai ,user13@gmail.com,9746036109,42555.79,2023-02-23
14,Customer_14,57.0,1960,180580.0,Mumbai,user14@GMAIL.COM,7914674098,4485.59,2023-02-10
15,Customer_15,41.0,1960,33051.0,pune,user15@gmail.com,NA,40312.66,2023-07-27
16,Customer_16,20.0,1963,,Delhi,user16@gmail.com,7585711013,2877.11,2023-07-17
17,Customer_17,39.0,1981,,Bengaluru,user17@gmail.com,9651127487,42131.47,2023-01-12
18,Customer_18,19.0,1975,,Mumbai ,user18@gmail.com,7062468859,2676.61,2023-08-17
19,Customer_19,41.0,2001,,Mumbai ,user19@gmail.com,8505762085,1010.3,2023-06-24
20,Customer_20,61.0,1975,,Pune,user20@gmail.com,NA,34878.38,2023-05-12
21,Customer_21,,2003,47019.0,Bangalore,user21@GMAIL.COM,9611717425,49863.05,2023-03-10
22,Customer_22,,1996,113613.0,MUMBAI,user22@gmail.com,9533677153,44840.85,2023-04-24
23,Customer_23,,1990,116672.0,Bengaluru,user23@gmail.com,9734366545,28842.32,2023-08-11
24,Customer_24,38.0,1969,103847.0,Bangalore,user24@gmail.com,8684675357,45878.04,2023-03-23
25,Customer_25,50.0,1983,112750.0,Pune,user25@gmail.com,NA,364.47,2023-08-23
26,Customer_26,29.0,2002,58251.0,pune,user26@gmail.com,9382914894,48755.85,2023-03-25
27,Customer_27,39.0,1973,133481.0,New Delhi,user27@gmail.com,8878940506,24588.36,2023-04-14
28,Customer_28,61.0,2001,142566.0,delhi,user28@GMAIL.COM,7390850994,36172.52,2023-06-23
29,Customer_29,42.0,1985,55945.0,delhi,user29@gmail.com,8495745843,41060.99,2023-07-25
30,Customer_30,44.0,1996,120852.0,MUMBAI,user30@gmail.com,NA,35951.02,2023-02-16
31,Customer_31,59.0,1991,62217.0,pune,  user31@gmail.com  ,9351263992,26798.33,2023-02-16
32,Customer_32,45.0,1974,38308.0,bangalore,  user32@gmail.com  ,9207568037,23883.31,2023-01-25
33,Customer_33,33.0,1998,35949.0,MUMBAI,  user33@gmail.com  ,8936645600,41945.27,2023-05-13
34,Customer_34,32.0,2001,162222.0,Bengaluru,  user34@gmail.com  ,8703138299,10333.37,2023-05-27
35,Customer_35,64.0,1991,130235.0,Bengaluru,  user35@GMAIL.COM  ,NA,48402.9,2023-02-10
36,Customer_36,61.0,1978,104740.0,mumbai,user36@gmail.com,8279726109,35576.53,2023-07-14
37,Customer_37,20.0,2004,146352.0,Bangalore,user37@gmail.com,9671842038,10055.4,2023-04-20
38,Customer_38,54.0,1987,96617.0,bangalore,user38@gmail.com,9248854633,36838.73,2023-02-11
39,Customer_39,24.0,1971,46896.0,delhi,user39@gmail.com,9996349008,26539.02,2023-03-21
40,Customer_40,38.0,1988,160798.0,Mumbai ,user40@gmail.com,NA,35390.78,2023-04-14
41,Customer_41,26.0,1981,168877.0,Bangalore,user41@gmail.com,7631675779,38412.2,2023-05-15
42,Customer_42,56.0,2004,35237.0,PUNE,user42@GMAIL.COM,8972879497,4455.78,2023-08-18
43,Customer_43,35.0,1988,50056.0,Bengaluru,user43@gmail.com,9113623369,25354.59,2023-02-21
44,Customer_44,21.0,1987,144548.0,Delhi,user44@gmail.com,8109151227,46607.52,2023-03-21
45,Customer_45,42.0,1975,141488.0,pune,user45@gmail.com,NA,16100.05,2023-08-26
46,Customer_46,31.0,2000,164415.0,Mumbai,user46@gmail.com,7284481363,29734.77,2023-02-23
47,Customer_47,26.0,1966,174572.0,MUMBAI,user47@gmail.com,8971973079,18524.6,2023-07-26
48,Customer_48,43.0,1974,59375.0,Bengaluru,user48@gmail.com,7196972612,22767.97,2023-02-26
49,Customer_49,19.0,1967,170734.0,Bangalore,user49@GMAIL.COM,9666340101,27475.3,2023-06-18
50,Customer_50,37.0,1968,46964.0,bangalore,user50@gmail.com,NA,27491.21,2023-08-11
51,Customer_51,45.0,1989,143429.0,Delhi,user51@gmail.com,9115778612,10166.35,2023-05-16
52,Customer_52,64.0,1967,97215.0,Bangalore,user52@gmail.com,8492129217,34260.12,2023-01-20
53,Customer_53,24.0,2006,99042.0,Mumbai,user53@gmail.com,8411977420,4484.62,2023-06-13
54,Customer_54,61.0,1996,174356.0,Delhi,user54@gmail.com,7898209917,7027.36,2023-02-22
55,Customer_55,25.0,1979,123468.0,PUNE,user55@gmail.com,NA,235.27,2023-02-14
56,Customer_56,64.0,1982,39435.0,Mumbai,user56@GMAIL.COM,9720435946,5923.13,2023-03-15
57,Customer_57,52.0,1984,108832.0,Pune,user57@gmail.com,9489577514,23710.99,2023-02-19
58,Customer_58,31.0,1976,81293.0, mumbai,user58@gmail.com,8031417583,30344.48,2023-04-18
59,Customer_59,34.0,1977,108781.0,Pune,user59@gmail.com,8467002826,39735.04,2023-06-11
60,Customer_60,53.0,1965,190196.0,delhi,user60@gmail.com,NA,5424.29,2023-01-14
61,Customer_61,57.0,1972,73919.0,Bangalore,user61@gmail.com,7325830514,42551.3,2023-01-15
62,Customer_62,21.0,2000,196319.0,Bengaluru,user62@gmail.com,9307528814,37324.13,2023-02-21
63,Customer_63,19.0,1991,151172.0,Bengaluru,user63@GMAIL.COM,7553534200,20485.06,2023-07-19
64,Customer_64,23.0,1981,124758.0,Bengaluru,user64@gmail.com,8976196758,46653.61,2023-06-15
65,Customer_65,59.0,2005,86573.0, mumbai,user65@gmail.com,NA,49547.38,2023-03-17
66,Customer_66,21.0,2006,89101.0,Pune,user66@gmail.com,7549952694,10329.59,2023-02-21
67,Customer_67,46.0,1995,56646.0, mumbai,user67@gmail.com,9511551311,19023.51,2023-05-16
68,Customer_68,35.0,2002,134185.0,New Delhi,user68@gmail.com,7652417118,46329.83,2023-02-22
69,Customer_69,43.0,1970,53049.0,Bangalore,user69@gmail.com,8719277514,36107.67,2023-01-23
70,Customer_70,61.0,1975,128116.0, mumbai,user70@GMAIL.COM,NA,2499.92,2023-08-11
71,Customer_71,51.0,1998,127379.0,Mumbai ,user71@gmail.com,7596258165,39097.57,2023-04-20
72,Customer_72,27.0,1966,98385.0,MUMBAI,user72@gmail.com,9996459407,41414.25,2023-01-13
